"Date","MONTH","CHIRP_KIR","CHIRP_MUY","OBS_KIR","OBS_MUY","ERA5_KIR","ERA5_MUY"
1990-06-01,12,"3.142","0.747","0.0","0.0","0.0","0.0"
1990-07-01,1,"3.7800000000000002","1.9080000000000001","0.0","0.0","0.0","0.0"
1990-08-01,2,"12.115","10.175","10.1999999918","17.8","6.0","4.0"
1990-09-01,3,"76.779","74.47","63.8999999328","79.7","108.0","128.0"
1990-10-01,4,"90.147","93.03500000000003","119.399999937","104.99999999999999","126.0","152.0"
1990-11-01,5,"142.07","126.19","190.8999998825","110.9","157.0","209.0"
1990-12-01,6,"107.20400000000004","123.69699999999999","126.39999993309998","152.5","137.0","192.0"
1991-01-01,7,"76.11100000000002","95.182","103.5999998949","96.10000000000001","104.0","174.0"
1991-02-01,8,"83.647","100.00999999999998","83.9999999478","86.69999999999999","69.0","115.0"
1991-03-01,9,"128.881","131.95800000000003","90.89999990090001","110.49999999999999","151.0","138.0"
1991-04-01,10,"158.94299999999998","167.93600000000006","187.59999987939997","148.2","229.0","239.0"
1991-05-01,11,"159.39800000000002","171.694","201.6999997623","162.50000000000003","211.0","210.0"
1991-06-01,12,"19.121","12.332999999999998","17.0","39.2","56.0","45.0"
1991-07-01,1,"4.124","1.4280000000000002","4.9000000004","0.4","10.0","11.0"
1991-08-01,2,"7.533","4.949000000000001","0.0","23.3","19.0","14.0"
1991-09-01,3,"31.779","24.067000000000004","29.1999999621","15.7","42.0","41.0"
1991-10-01,4,"133.14300000000006","103.59500000000003","149.8999999058","141.3","199.0","227.0"
1991-11-01,5,"102.81600000000002","106.67800000000001","78.7999999723","106.3","140.0","186.0"
1991-12-01,6,"102.39200000000002","114.81199999999998","79.09999997130001","44.7","116.0","161.0"
1992-01-01,7,"53.086999999999996","81.12","26.5999999894","108.39999999999999","87.0","135.0"
1992-02-01,8,"67.184","93.44","30.6999999725","132.39999999999998","88.0","161.0"
1992-03-01,9,"107.58500000000001","116.322","135.5999999229","103.10000000000001","87.0","125.0"
1992-04-01,10,"206.76","208.522","203.19999982509998","303.49999999999994","222.0","238.0"
1992-05-01,11,"79.37800000000001","83.814","95.8999999504","42.7","103.0","114.0"
1992-06-01,12,"18.304999999999996","6.375000000000001","44.5999999984","7.6","38.0","37.0"
1992-07-01,1,"5.6339999999999995","3.051","0.0","0.0","0.0","0.0"
1992-08-01,2,"5.886000000000001","3.098","0.0","0.5","0.0","0.0"
1992-09-01,3,"59.25600000000001","50.18","25.699999972700002","56.8","41.0","25.0"
1992-10-01,4,"121.666","116.99","118.09999987860002","117.2","164.0","176.0"
1992-11-01,5,"119.68699999999998","109.985","109.69999987879999","65.7","159.0","203.0"
1992-12-01,6,"117.95200000000001","141.92099999999996","156.89999981460002","143.9","127.0","193.0"
1993-01-01,7,"142.404","172.99500000000003","95.19999993470002","221.10000000000002","120.0","170.0"
1993-02-01,8,"89.183","95.421","126.7999999501","50.4","78.0","114.0"
1993-03-01,9,"135.263","146.59599999999998","136.5999999027","150.5","81.0","138.0"
1993-04-01,10,"154.17","167.70499999999998","161.79999993269996","269.99999999999994","184.0","225.0"
1993-05-01,11,"100.11200000000002","89.96700000000001","101.29999993240001","78.80000000000001","139.0","165.0"
1993-06-01,12,"7.165","4.254","2.4999999999000004","0.3","7.0","5.0"
1993-07-01,7,"0.562","0.055999999999999994","0.0","0.0","0.0","0.0"
1993-08-01,8,"41.796","29.987000000000002","54.9999999319","56.0","16.0","14.0"
1993-09-01,9,"24.634","15.412999999999998","6.1999999904","0.3","8.0","7.0"
